,mission and vision
Helvetica,We combine the spirit and agility of a start-up with the maturity that comes from being part of a 100 year-old company.
Helvetica,"At times it can feel like organised chaos, and that?s the way we like it."
Helvetica,We are allergic to corporate interference and we love to operate in exotic and challenging markets.
Helvetica,"We improvise, experiment and push each other further."
Helvetica,"We ask for forgiveness, not permission."
Helvetica,"We embrace uncertainty, drive change and stay brave."
Helvetica,We are the OLX Group.
Helvetica,"Sabe aquele arrepio, aquele sorriso e aquela emo??o que certas situa??es provocam?"
Helvetica,"A gente faz isso direto, ? a nossa especialidade!"
Helvetica,"E quando isso acontece, alcan?amos nosso objetivo."
Helvetica,A gente quer mais do que simplesmente aproximar pessoas e marcas.
Helvetica,Queremos deixar a nossa marca ? e a sua ? para sempre na mem?ria das pessoas.
Helvetica,"Pela experi?ncia vivida e sentida, por despertar sensa??es e criar conex?es."
Helvetica,"Queremos fazer voc? se lembrar que a comunica??o ? viva, e tem que ser inteligente, diferente, criativa."
Helvetica,"Por isso, vamos al?m do convencional: nosso neg?cio ? ousar, fugir do padr?o."
Helvetica,"Somos mais que inspira??o, porque trabalhamos com estrat?gias."
Helvetica,"Entregamos mais do que a expectativa pede, porque colocamos inova??o e paix?o em tudo o que fazemos."
Helvetica,"Esse ? o nosso combust?vel para planejar, criar, executar e emocionar."
Helvetica,"E ? transformando as melhores ideias em a??es e a??es em resultados ? que a gente se renova a cada job, desenvolve solu??es, aprofunda as rela??es."
Helvetica,A gente gosta do que faz e quer fazer cada dia mais.
Helvetica,"Por voc?, por n?s, pelo nosso trabalho.Viva essa experi?ncia.#BeMLive."
Helvetica,The food industry discards any produce that does not meet their aesthetic standards.
Helvetica,"SecondLife takes a stand on providing healthy, affordable & quality food that might just look a little bit uglier than what you would expect.Give ugly fruits and vegetables a SecondLife !"
Helvetica,"HMV - the home of entertainment.HMV is a leading specialist retailer of music, film, games, headphones and speakerdocs."
Helvetica,"We have over 120 stores and employ 2,500 colleagues.The brand is synonymous with the very history and development of popular music and culture and made famous by the iconic image of Nipper the dog.HMV's rich heritage spans nearly a century with the grand opening of our first store in London in 1921 which was attended by Sir Edward Elgar.Since that time we have made music and entertainment available to our customers in every format imaginable from sheet music to vinyl LPs to CDs and digital downloads.We hold frequent instore events around the UK with artists ranging from Gary Barlow to Sir Paul McCartney to Steve Coogan.At HMV we have always been passionate about music and film and are very proud of the fact many of our store and head office colleagues have progressed to senior management roles."
Helvetica,GovDelivery recently announced a new brand under the name Granicus.
Helvetica,Please follow Granicus on LinkedIn: http://bit.ly/2nDG1eU
Helvetica,"Datafile partners with organisations worldwide to organise, access and manage their information."
Helvetica,"We offer 25 years of experience, the best products and our renowned consulting methodology for regulatory compliance."
Helvetica,"From traditional records challenges to the hybrid environment and e-discovery, we can develop the records management solutions you need."
Helvetica,"EDITORIA DI GIORNALI, RIVISTE E QUOTIDIANI E PERIODICI."
Helvetica,Elbotola est le premier portail sportif ?lectronique au Maroc qui compte plus de 15 millions de visiteurs uniques par mois.
Helvetica,"Cette plateforme performante, qui mise sur des articles, des vid?os, des photos, des jeux interactifs, des formats publicitaires cr?atifs et originaux, a pour mission d?innover afin de rendre l?information plus accessible et l?exp?rience mieux appr?ci?e.Elbotola M?dia c?est aussi une ?quipe de jeunes passionn?s compos?e de plus de 25 correspondants pr?sents ? l??chelle nationale et internationale."
Helvetica,"Panasonic Corporation is comprised of various business domain companies, from AV to home appliances, to industrial solutions and other consumer electronic products."
Helvetica,"Each company has its distinct R&D, production, and sales functions that satisfy specific consumer needs worldwide.http://www.panasonic.com/global/corporate/profile/segments.html"
Helvetica,GLORIOUS GAMES GROUPGlorious Games is a multi-product entertainment company that focuses on creating engaging games for a young and stylish audience.We're passionate about crafting digital environments & communities through gameplay that promotes self-expression.
Helvetica,"Our aim is to provide creative outlets and worlds of fun for girls, teens and fashion enthusiasts.Our products today include: - Stardoll, the world's leading dress up game with the largest online fashion community; - Stylista, a mobile game where you style your way to the top of the fashion world;- CLIQUE, a chic social marketplace for secondhand fashion;...and more exciting projects are in the works!Located in central Stockholm, our office is a second home to a highly motivated, multicultural team of over 60 glorious gamers."
Helvetica,A typical working day for us is ripe with interesting challenges and opportunities for personal growth!
